Total_Reports,Abuse_Score,ISP,Status,Vendor,Blocked,Reason,Last_Reported
135,0.0,Google LLC,Safe,,,,
0,,,,Acronis,Safe,Nil,2026-06-16
0,,,,0xSI_f33d,Safe,Nil,2026-06-16
0,,,,Abusix,Safe,Nil,2026-06-16
0,,,,ADMINUSLabs,Safe,Nil,2026-06-16
0,,,,Axur,Safe,Nil,2026-06-16
0,,,,ChainPatrol,Safe,Nil,2026-06-16
0,,,,Criminal IP,Safe,Nil,2026-06-16
0,,,,AILabs (MONITORAPP),Safe,Nil,2026-06-16
0,,,,AlienVault,Safe,Nil,2026-06-16
0,,,,alphaMountain.ai,Safe,Nil,2026-06-16
0,,,,AlphaSOC,Safe,Nil,2026-06-16
0,,,,Antiy-AVL,Safe,Nil,2026-06-16
0,,,,ArcSight Threat Intelligence,Safe,Nil,2026-06-16
0,,,,AutoShun,Safe,Nil,2026-06-16
0,,,,Bfore.Ai PreCrime,Safe,Nil,2026-06-16
0,,,,BitDefender,Safe,Nil,2026-06-16
0,,,,Bkav,Safe,Nil,2026-06-16
0,,,,Blueliv,Safe,Nil,2026-06-16
0,,,,Certego,Safe,Nil,2026-06-16
0,,,,Chong Lua Dao,Safe,Nil,2026-06-16
0,,,,CINS Army,Safe,Nil,2026-06-16
0,,,,Cluster25,Safe,Nil,2026-06-16
0,,,,CRDF,Safe,Nil,2026-06-16
0,,,,CSIS Security Group,Safe,Nil,2026-06-16
0,,,,Snort IP sample list,Safe,Nil,2026-06-16
0,,,,CMC Threat Intelligence,Safe,Nil,2026-06-16
0,,,,CTX AI,Safe,Nil,2026-06-16
0,,,,Cyan,Safe,Nil,2026-06-16
0,,,,Cyble,Safe,Nil,2026-06-16
0,,,,CyRadar,Safe,Nil,2026-06-16
0,,,,DNS8,Safe,Nil,2026-06-16
0,,,,Dr.Web,Safe,Nil,2026-06-16
0,,,,Ermes,Safe,Nil,2026-06-16
0,,,,ESET,Safe,Nil,2026-06-16
0,,,,ESTsecurity,Safe,Nil,2026-06-16
0,,,,EmergingThreats,Safe,Nil,2026-06-16
0,,,,Emsisoft,Safe,Nil,2026-06-16
0,,,,Forcepoint ThreatSeeker,Safe,Nil,2026-06-16
0,,,,Fortinet,Safe,Nil,2026-06-16
0,,,,G-Data,Safe,Nil,2026-06-16
0,,,,GCP Abuse Intelligence,Safe,Nil,2026-06-16
0,,,,Google Safebrowsing,Safe,Nil,2026-06-16
0,,,,GreenSnow,Safe,Nil,2026-06-16
0,,,,GreyNoise,Safe,Nil,2026-06-16
0,,,,Gridinsoft,Safe,Nil,2026-06-16
0,,,,Guardpot,Safe,Nil,2026-06-16
0,,,,Heimdal Security,Safe,Nil,2026-06-16
0,,,,Hunt.io Intelligence,Safe,Nil,2026-06-16
0,,,,IPsum,Safe,Nil,2026-06-16
0,,,,Juniper Networks,Safe,Nil,2026-06-16
0,,,,Kaspersky,Safe,Nil,2026-06-16
0,,,,LevelBlue,Safe,Nil,2026-06-16
0,,,,Lionic,Safe,Nil,2026-06-16
0,,,,Lumu,Safe,Nil,2026-06-16
0,,,,MalwarePatrol,Safe,Nil,2026-06-16
0,,,,MalwareURL,Safe,Nil,2026-06-16
0,,,,Malwared,Safe,Nil,2026-06-16
0,,,,Mimecast,Safe,Nil,2026-06-16
0,,,,Netcraft,Safe,Nil,2026-06-16
0,,,,OpenPhish,Safe,Nil,2026-06-16
0,,,,Phishing Database,Safe,Nil,2026-06-16
0,,,,PhishFort,Safe,Nil,2026-06-16
0,,,,PhishLabs,Safe,Nil,2026-06-16
0,,,,Phishtank,Safe,Nil,2026-06-16
0,,,,PREBYTES,Safe,Nil,2026-06-16
0,,,,PrecisionSec,Safe,Nil,2026-06-16
0,,,,Quick Heal,Safe,Nil,2026-06-16
0,,,,Quttera,Safe,Nil,2026-06-16
0,,,,SafeToOpen,Safe,Nil,2026-06-16
0,,,,Sansec eComscan,Safe,Nil,2026-06-16
0,,,,Scantitan,Safe,Nil,2026-06-16
0,,,,SCUMWARE.org,Safe,Nil,2026-06-16
0,,,,Seclookup,Safe,Nil,2026-06-16
0,,,,SecureBrain,Safe,Nil,2026-06-16
0,,,,SOCRadar,Safe,Nil,2026-06-16
0,,,,Sophos,Safe,Nil,2026-06-16
0,,,,StopForumSpam,Safe,Nil,2026-06-16
0,,,,Sucuri SiteCheck,Safe,Nil,2026-06-16
0,,,,ThreatHive,Safe,Nil,2026-06-16
0,,,,URLhaus,Safe,Nil,2026-06-16
0,,,,URLQuery,Safe,Nil,2026-06-16
0,,,,Viettel Threat Intelligence,Safe,Nil,2026-06-16
0,,,,VIPRE,Safe,Nil,2026-06-16
0,,,,VX Vault,Safe,Nil,2026-06-16
0,,,,ViriBack,Safe,Nil,2026-06-16
0,,,,Webroot,Safe,Nil,2026-06-16
0,,,,Yandex Safebrowsing,Safe,Nil,2026-06-16
0,,,,ZeroCERT,Safe,Nil,2026-06-16
0,,,,desenmascara.me,Safe,Nil,2026-06-16
0,,,,Xcitium Verdict Cloud,Safe,Nil,2026-06-16
0,,,,ZeroFox,Safe,Nil,2026-06-16
